"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","COLOR","CURRENT","DKPN","GAUGE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TEENSY","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"1","3","ADG1423","U100","200","","","","ADG1423BRMZ-REEL7CT-ND","","Analog Devices Inc.","584-ADG1423BRMZ","ADG1423BRMZ","","","","","","","",
"1","3","ADM8316WBX30","U7","200","","","","ADM8316WBX30ARJZR7TR-ND","","Analog Devices Inc.","584-M8316WBX30ARJZR7","ADM8316WBX30ARJZR7","","","","","","","",
"21","31","CAPACITOR_0603_10V_0.1UF","C3, C5, C9, C10, C11, C13, C14, C15, C16, C17, C18, C19, C21, C22, C26, C27, C28, C30, C31, C34, C38","48","0.1µF","","","720-1688-1-ND","","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","","5%","10V","","",
"3","13","CAPACITOR_0603_10V_10NF","C1, C6, C100","333","10nF","","","311-4054-1-ND","","Yageo","603-CC603KRX7R6BB103","CC0603KRX7R6BB103","","","","10%","10V","","",
"2","12","CAPACITOR_0603_10V_1UF","C37, C39","500","1µF","","","311-1796-1-ND","","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","","10%","10V","","",
"1","11","CAPACITOR_0603_10V_4.7NF","C25","1000","4.7nF","","","732-7931-1-ND","","Würth Elektronik","710-885012206012","885012206012","","","","10%","10V","","",
"2","12","CAPACITOR_0603_10V_4.7UF","C36, C103","500","4.7µF","","","1276-1044-1-ND","","Samsung Electro-Mechanics","187-CL10A475KP8NNNC","CL10A475KP8NNNC","","","","10%","10V","","",
"4","14","CAPACITOR_0603_10V_680PF","C4, C12, C23, C32","250","680pF","","","732-7757-1-ND","","Würth Elektronik","710-885012006013","885012006013","","","","5%","10V","","",
"6","16","CAPACITOR_0603_25V_0.1UF","C2, C8, C20, C29, C35, C102","167","0.1µF","","","1276-1006-1-ND","","Samsung Electro-Mechanics","187-CL10B104KA8NNNC","CL10B104KA8NNNC","","","","10%","25V","","",
"2","12","CAPACITOR_0603_25V_10UF","C24, C33","500","10µF","","","490-7202-1-ND","","Murata Electronics","81-GRM188R61E106MA3D","GRM188R61E106MA73D","","","","20%","25V","","",
"2","12","CAPACITOR_0603_25V_1UF","C101, C104","500","1µF","","","1276-1184-1-ND","","Samsung Electro-Mechanics","187-CL10B105KA8NNNC","CL10B105KA8NNNC","","","","10%","25V","","",
"1","3","CONNECTOR-12_MF_T_V_","J5","200","","","","","","MOLEX","","430451214","","","","","","","",
"1","3","CONNECTOR-14_MF_T_V_","J3","200","","","","","","MOLEX","","430451414","","","","","","","",
"1","3","CONNECTOR-2_MF_T_V_","J1","200","","","","","","MOLEX","","436500217","","","","","","","",
"1","3","CONNECTOR-8_MF_T_V_","J2","200","","","","","","MOLEX","","430450814","","","","","","","",
"1","3","CONNECTOR-8_S_S","J100","200","","","","S7107-ND","","Sullins Connector Solutions","","PPPC042LFBN-RC","","","","","","","",
"1","3","CONNECTOR-CAN_μF_S_RA_","J6","200","","","","WM1832CT-ND","","Molex","538-43045-0411","0430450411","","","","","","","",
"24","48","CRIMP_MICROFIT_20-24","O4, O5, O6, O7, O8, O9, O10, O11, O12, O13, O14, O15, O16, O17, O18, O19, O20, O21, O22, O23, O24, O25, O26, O27","100","","","","WM2776CT-ND","20-24","Molex","538-43030-0003","0430300003","","","","","","","",
"2","4","FUSE_0603_.75A","F1, F2","100","","","0.75A","507-2159-2-ND","","Bel Fuse","530-0686F0750-01","0686F0750-01","","","","","63V","","",
"1","3","FUSE_HOLDER_MINIBLADEPTH","XF1","200","","","","36-3568-ND","","Keystone","534-3568","3568","","","","","","","",
"1","2","FUSE_MINI_BLADE_1","O28","100","","","","2298-ANM58-1A-ND","","OptiFuse","","ANM58-1A","","","","","","","",
"1","3","JUMPER__1X02","J4","200","","","","S1011EC-02-ND","","Sullins Connector Solutions","","PRPC002SAAN-RC","","","","","","","",
"2","12","LED_0603_BLUE","5V, WATCHDOG","500","","Blue","","754-1789-1-ND","","Kingbright","604-APT1608VBC/D","APT1608VBC/D","","","","","","","",
"3","13","LED_0603_GREEN","3.3V, AMS_OK, TSAL_GREEN","333","","Green","","754-1790-1-ND","","Kingbright","604-APT1608ZGCK","APT1608ZGCK","","","","","","","",
"1","11","LED_0603_ORANGE","IMD_OK","1000","","Orange","","754-1120-1-ND","","Kingbright","604-APT1608SECK","APT1608SECK","","","","","","","",
