Designator,Mid X,Mid Y,Layer,Rotation
U16,101.67,91.14,Top,90.0
U17,127.66,21.46,Top,0.0
U18, 7.56,21.85,Top,180.0
U19,79.78,22.45,Top,270.0
U20,73.18,23.85,Top,270.0
U22,122.37,43.82,Top,270.0
U25,140.84,16.67,Top,90.0
U26,128.98,43.32,Top,270.0
U27,122.37,52.97,Top,270.0
U28,128.98,52.46,Top,270.0
U29,72.62,33.02,Top,270.0
U30,79.48,32.64,Top,270.0
WATCHDOG_OK,173.33,50.01,Top,0.0
