"Qty";"Value";"Device";"Package";"Parts";"Description";"CAPACITANCE";"COLOR";"CURRENT";"CURRENT_RATED";"CURRENT_SATURATION";"DCR";"DKPN";"INDUCTANCE";"MANUFACTURER";"MOPN";"MPN";"POWER";"RESISTANCE";"TOLERANCE";"VOLTAGE";"VOLTAGE_CONTINUOUS";"VOLTAGE_MAX";
"2";"FUSE_0885_1.25";"FUSE_0885_1.25";"0885";"F2, F6";"Fuse";"";"";"1.25A";"";"";"";"F10986CT-ND";"";"Littelfuse Inc.";"576-08851.25DR";"08851.25DR";"";"";"";"500V";"";"";
"1";"FUSE_MB_10";"FUSE_MB_10";"MINI-BLADE_FUSE_HOLDER";"F1";"Fuse";"";"";"10A";"";"";"";"F991-ND";"";"Littelfuse Inc.";"576-0297010.WXNV";"0297010.WXNV";"";"";"";"32V";"";"";
"1";"INDUCTOR_PA4334_3.6UH";"INDUCTOR_PA4334_3.6UH";"PA4334";"L4";"Inductor";"";"";"";"1.6A";"1A";"0.13";"553-3508-2-ND";"3.6uH";"Pulse Electonics Company";"673-PA4334362NLT";"PA4334.362NLT";"";"";"20%";"";"";"";
"1";"INDUCTOR_SRU1048_330UH";"INDUCTOR_SRU1048_330UH";"SRU1048";"L6";"Inductor";"";"";"";"0.65A";"0.52A";"0.640Ω";"SRU1048-331YTR-ND";"330µH";"Bourns Inc.";"652-SRU1048-331Y";"SRU1048-331Y";"";"";"30%";"";"";"";
"1";"INDUCTOR_WELMHI_56UH";"INDUCTOR_WELMHI_56UH";"WE-LMHI";"L5";"Inductor";"";"";"";"1.4A";"1.4A";"342m";"732-11454-2-ND";"56uH";"Wurth Elektronik";"710-74437349560";"74437349560";"";"";"20%";"";"";"";
"2";"ISO224B_AIRGAP";"ISO224B_AIRGAP";"SOIC-08(WIDE,0.295")-AIRGAP";"U18, U19";"ISO224*: Isolated precision amplifier";"";"";"";"";"";"";"296-52316-1-ND";"";"Texas Instruments";"595-ISO224BDWVR";"ISO224BDWVR";"";"";"";"";"";"";
"3";"LED_0603_BLUE";"LED_0603_BLUE";"0603-LED";"D9, D11, D13";"LED";"";"Blue";"";"";"";"";"754-1789-1-ND";"";"Kingbright";"604-APT1608VBC/D";"APT1608VBC/D";"";"";"";"";"";"";
"1";"LED_0603_GREEN";"LED_0603_GREEN";"0603-LED";"D4";"LED";"";"Green";"";"";"";"";"754-1790-1-ND";"";"Kingbright";"604-APT1608ZGCK";"APT1608ZGCK";"";"";"";"";"";"";
"1";"LED_0603_ORANGE";"LED_0603_ORANGE";"0603-LED";"D2";"LED";"";"Orange";"";"";"";"";"754-1120-1-ND";"";"Kingbright";"604-APT1608SECK";"APT1608SECK";"";"";"";"";"";"";
"1";"LED_0603_RED";"LED_0603_RED";"0603-LED";"D6";"LED";"";"Red";"";"";"";"";"754-1786-1-ND";"";"Kingbright";"604-APT1608SECKJ3PRV";"APT1608SECK/J3-PRV";"";"";"";"";"";"";
