"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","COLOR","CURRENT","CURRENT_RATED","CURRENT_SATURATION","DCR","DKPN","GAUGE","INDUCTANCE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"1","3","LTC3639","U1","200","","","","","","","LTC3639EMSE#TRPBFTR-ND","","","Analog Devices Inc.","584-LTC3639EMSETRPBF","LTC3639EMSE#TRPBF ","","","","","","",
"2","4","LTC6994-2","U100, U101","100","","","","","","","","","","","","","","","","","","",
"1","2","RECEPTACLE-4_MICROFIT","O23","100","","","","","","","WM11225-ND","","","Molex","538-43025-0408","0430250408","","","","","","",
"1","2","RECEPTACLE-6_SINGLE_MICROFIT","O3","100","","","","","","","WM13217-ND","","","Molex","538-43645-0608","0436450608","","","","","","",
"1","2","RECEPTACLE-7_MICROFIT","O2","100","","","","","","","WM2405-ND","","","Molex","538-43645-0700","0436450700","","","","","","",
"1","2","RECEPTACLE-8_FLEXSTACK","O1","100","","","","","","","ZW-04-11-G-D-522-158-ND","","","Samtec Inc","200-ZW0411GD522158","ZW-04-11-G-D-522-158","","","","","","",
"1","3","RECTIFIER_400V_SOD123","D102","200","","","1A","","","","US1GWF-7DITR-ND","","","Diodes Incorporated","621-US1GWF-7","US1GWF-7","","","","400V","","",
"1","3","RELAY_SOLIDSTATE_NC_AG","K100","200","","","","","","","255-2897-ND","","","Panasonic Industrial Devices","769-AQY414EHA","AQY414EHA","","","","","","",
"1","3","RELAY_SOLIDSTATE_NO_AG","K3","200","","","","","","","255-1436-5-ND","","","Panasonic Inustrial Devices","769-AQY214EHA","AQY214EHA","","","","","","",
"1","3","RELAY_SPST_NC_POLARIZED_3550_12","K2","200","","","","","","","1835-1040-ND","","","Comus International","","3350-4275-126","","","","","","",
"1","3","RELAY_SPST_NO_3550_12","K1","200","","","","","","","1835-1037-ND","","","Comus International","","3350-1275-126","","","","","","",
"1","11","RESISTOR_0603_1.62","R3","1000","","","","","","","1712-CPF0603B1R62E1TR-ND","","","TE Conductivity Passive Product","279-CPF0603B1R62E1","CPF0603B1R62E1","0.1W","1.62","0.1%","","0.51V","50V",
"1","11","RESISTOR_0603_10","R24","1000","","","","","","","311-10.0HRCT-ND","","","Yageo","603-RC0603FR-0710RL","RC0603FR-0710RL","0.1W","10","1%","","1.00V","75V",
"2","12","RESISTOR_0603_10K","R5, R23","500","","","","","","","311-10.0KHRCT-ND","","","Yageo","603-RC0603FR-0710KL","RC0603FR-0710KL","0.1W","10k","1%","","31.62V","75V",
"1","11","RESISTOR_0603_13.3K","R109","1000","","","","","","","P20099TR-ND","","","Panasonic Electronic Components","667-ERJ-PB3B1332V","ERJ-PB3B1332V","0.2W","13.3k","0.1%","","","75k",
"1","11","RESISTOR_0603_180","R9","1000","","","","","","","311-180HRCT-ND","","","Yageo","603-RC0603FR-07180RL","RC0603FR-07180RL","0.1W","180","1%","","4.24V","75V",
"11","21","RESISTOR_0603_1K","R1, R4, R6, R25, R26, R27, R28, R29, R30, R31, R106","91","","","","","","","311-1.00KHRCT-ND","","","Yageo","603-RC0603FR-071KL","RC0603FR-071KL","0.1W","1k","1%","","10.00V","75V",
"1","11","RESISTOR_0603_3.32K","R113","1000","","","","","","","YAG1651TR-ND","","","Yageo","603-RT0603BRD073K32L","RT0603BRD073K32L","0.1W","3.32k","0.1%","","18.22V","75V",
"2","12","RESISTOR_0603_33.2K","R20, R21","500","","","","","","","P20144TR-ND","","","Panasonic Electronic Components","667-ERJ-PB3B3322V","ERJ-PB3B3322V","0.1W","33.2k","0.1%","","57.61V","75V",
"2","12","RESISTOR_0603_360K","R14, R15","500","","","","","","","RHM360KAYTR-ND","","","Rohm Semiconductor","755-KTR03EZPF3603","KTR03EZPF3603","0.1W","360k","1%","","189.74V","350V",
"2","12","RESISTOR_0603_39","R2, R22","500","","","","","","","13-RT0603BRD0739RLTR-ND","","","Yageo","603-RT0603BRD0739RL","RT0603BRD0739RL","0.1W","39","1%","","","75V",
"3","13","RESISTOR_0603_75K","R101, R104, R107","333","","","","","","","RT0603BRE0775KL-ND","","","Yageo","603-RT0603BRE0775KL","RT0603BRE0775KL","0.1W","75k","0.1%","","75V","75V",
"1","11","RESISTOR_0603_8.35K","R108","1000","","","","","","","764-1461-2-ND","","","Vishay Dale Thin Film","71-PTN0603E8351BST1","PTN0603E8351BST1","0.15W","8.35k","0.1%","","28.90V","75V",
"1","11","RESISTOR_0603_DNP","R111","1000","","","","","","","","","","","","","","DNP","","","","",
"2","12","RESISTOR_0603_HV750K","R11, R12","500","","","","","","","RHM75KAYTR-ND","","","Rohm","755-KTR03EZPF7502","KTR03EZPF7502","0.1W","750k","1%","","","350V",
"4","14","RESISTOR_0603_HV75K","R16, R17, R18, R19","250","","","","","","","RHM750KAYTR-ND","","","Rohm","755-KTR03EZPF7503","KTR03EZPF7503","0.1W","75k","1%","","","350V",
"2","12","RESISTOR_0805_1M","R100, R103","500","","","","","","","P20936TR-ND","","","Panasonic Electronic Components","667-ERJ-PB6B1004V","ERJ-PB6B1004V","0.25W","1M","0.1%","","150V","150V",
"2","12","RESISTOR_0805_523K","R102, R105","500","","","","","","","P20904TR-ND","","","Panasonic Electronic Components","667-ERJ-PB6B5233V","ERJ-PB6B5233V","0.25W","523k","0.1%","","150V","150V",
"1","11","RESISTOR_0805_976K","R110","1000","","","","","","","P20935TR-ND","","","Panasonic Electronic Components","667-ERJ-PB6B9763V","  ERJ-PB6B9763V","0.25W","976k","0.1%","","150V","150V",
"1","11","RESISTOR_0805_HV365K","R112","1000","","","","","","","RHM365KAHTR-ND ","","","Rohm","755-KTR10EZPF3653","KTR10EZPF3653","0.125W","365k","1%","","213V","350V",
"3","5","RESISTOR_B20_10K","R7, R8, R13","67","","","","","","","B20J10KE-ND","","","Ohmite","588-B20J10KE","B20J10KE","20W","10k","5%","","447V","750V",
"1","3","RESISTOR_B20_750","R10","200","","","","","","","B20J750E-ND","","","Ohmite","588-B20J750E","B20J750E","20W","750","5%","","122V","750V",
"3","5","SCHOTTKY_SOD323_30V","D3, D100, D101","67","","","0.8A","","","","CUS08F30H3FTR-ND","","","Toshiba Semiconductor and Storage","757-CUS08F30H3F","CUS08F30","","","","30V","","",
"22","24","TEST_POINT","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22","9","","","","","","","36-5015CT-ND","","","Keystone Electronics","534-5015","5015","","","","","","",
"1","3","TRANSISTOR_N_MOS__PMV15ENEA","Q1","200","","","","","","","1727-8588-1-ND","","","Nexperia USA Inc.","771-PMV15ENEAR","PMV15ENEAR","","","","","","",
"1","3","TVS_8V","D5","200","","","","","","","GSOT08-E3-08TR-ND","","","Vishay General Semiconductor - Diodes Division","78-GSOT08-E3-08","GSOT08-E3-08","","","","8V","","",
"1","3","VOLTAGE_REGULATOR_ADJ_LR8_DPAK","U102","200","","","","","","","LR8K4-GTR-ND","","","Microchip Technology","689-LR8K4-G","LR8K4-G","","","","","","",
"1","3","VOLTAGE_REGULATOR_SOT223_5V","U4","200","","","","","","","497-17240-1-ND","","","STMicroelectronics","511-LDL1117S50R","LDL1117S50R","","","","","","",
